source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
Dawn,https://www.dawn.com/news/551761,5km,landslide,downpour,medium,unknown,0.0,,,Pakistan,Gilgit-Baltistan,2005.0,Barishāl,41.15433,74.8609,36.6567,2010-08-06,00:00:00,2010,8
Tribune India.com,,25km,landslide,rain,medium,unknown,2.0,,,India,Kashmir,14711.0,Kupwāra,18.10887,74.3333,33.8778,2007-03-19,00:00:00,2007,3
Hindustan Times,http://www.hindustantimes.com/chandigarh/landslide-hits-train-services-on-kalka-shimla-section/story-C4FiXc6ERCioiTLnS9e8eI.html,1km,landslide,downpour,medium,unknown,,,,India,Himachal Pradesh,2467.0,Jutogh,8.68139,77.1029,31.0226,2012-09-18,00:00:00,2012,9
Tribune India,http://www.tribuneindia.com/news/himachal/four-buried-alive-five-hurt-in-landslide-at-kullu-village/289325.html,5km,landslide,unknown,large,above_road,4.0,5.0,,,,,,,77.109719,31.956546,2016-09-02,18:04:00,2016,9
Tribal News Network,http://www.radiotnn.com/mudslide-kills-two-kids-woman-in-mohmand-agency/,25km,landslide,rain,small,,3.0,0.0,,,,,,,71.398496,34.525881,2016-09-08,18:04:00,2016,9
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/landslides-cleared-srinagar-leh-highway-re-opens-for-traffic/251494.html,25km,landslide,rain,small,above_road,0.0,0.0,,,,,,,75.46743478,34.27703802,2017-06-05,13:34:00,2017,6
Indian Express,http://www.arunachaltimes.in/wp-content/uploads/2017/06/Landslide-disrupts-water-supply-again.jpg,5km,landslide,rain,small,above_road,0.0,0.0,,,,,,,75.37123,32.62803,2017-06-21,18:51:00,2017,6
Dawn,https://www.dawn.com/news/1335312,10km,landslide,mining,medium,mine,4.0,15.0,,,,,,,67.458172,30.02715,2017-05-24,20:14:00,2017,5
Rising Kashmir,http://www.risingkashmir.com/news/cloud-burst-landslides-in-anantnag,25km,landslide,downpour,medium,natural_slope,,,,,,,,,75.23162006,33.63251807,2017-06-21,13:15:00,2017,6
The Mandate,http://www.themandate.in/2017/06/22/bhairon-ghati-track-closed-landslide-reopens-vaishno-devi-pilgrims/,1km,landslide,rain,small,natural_slope,0.0,0.0,,,,,,,74.93828041,33.01739981,2017-06-21,13:15:00,2017,6
Tribune India,http://www.tribuneindia.com/news/himachal/heavy-rain-triggers-landslide-in-mandi-one-injured/280572.html,5km,landslide,downpour,small,above_road,0.0,1.0,,,,,,,76.932771,31.70779,2016-08-09,19:22:00,2016,8
The Indian Express,http://indianexpress.com/article/india/hundreds-stranded-as-jk-highway-closed-after-landslides-in-ramban-udhampur-4715793/,5km,rock_fall,rain,small,above_road,0.0,0.0,,,,,,,75.12206351,32.94818322,2017-06-21,18:51:00,2017,6
The Indian Express,http://indianexpress.com/article/cities/chandigarh/dozen-landslides-in-48-hours-kalka-shimla-drive-takes-dangerous-turn-4727296/,10km,landslide,monsoon,medium,above_road,0.0,0.0,,,,,,,76.99790295,30.86642127,2017-06-29,13:20:00,2017,6
Hindustan Times,http://www.hindustantimes.com/india-news/eight-killed-in-factory-wall-collapse-in-himachal-s-baddi-due-to-storm/story-zdzkA2onoBy2evzZnHxvHJ.html,5km,landslide,rain,medium,urban,8.0,9.0,,,,,,,76.80054202,30.94222039,2017-06-07,13:27:00,2017,6
Daily Excelsior,http://www.dailyexcelsior.com/one-killed-two-injured-landslide/,25km,landslide,unknown,small,natural_slope,1.0,2.0,,,,,,,74.23352995,33.35149269,2017-06-08,13:27:00,2017,6
Hindustan Times,http://www.hindustantimes.com/india-news/pilgrim-dies-as-landslide-hits-vaishno-devi-track/story-9K4XOYIj7l98psJ3d1iodO.html,1km,landslide,rain,medium,above_road,1.0,8.0,,,,,,,74.93530189,33.01346369,2017-06-30,13:20:00,2017,6
Mirpur TV,https://mirpur.tv/woman-daughter-killed-in-neelam-landslide-mirpur-tv/,25km,landslide,unknown,large,above_road,2.0,0.0,,,,,,,73.86293399,34.56101506,2017-06-04,13:34:00,2017,6
Business Standard,http://www.business-standard.com/article/current-affairs/himachal-heavy-rains-trigger-landslides-near-mandi-tourists-stranded-117062600956_1.html,1km,landslide,downpour,small,above_road,0.0,0.0,,,,,,,76.93732121,31.72415448,2017-06-27,13:10:00,2017,6
Dawn,https://www.dawn.com/news/1342282/tourist-killed-in-kaghan-mudslide,25km,mudslide,rain,medium,natural_slope,1.0,1.0,,,,,,,73.51484236,34.78860948,2017-06-29,13:20:00,2017,6
Hindustan Times,http://www.hindustantimes.com/india-news/crpf-jawan-dies-many-pilgrims-feared-buried-under-landslide-at-vaishno-devi/story-MaLyM5DU6DON8pDV6wbYEM.html,1km,landslide,unknown,medium,natural_slope,1.0,0.0,,,,,,,74.948082,33.029977,2016-08-24,17:45:00,2016,8
The Tribune,http://www.tribuneindia.com/news/himachal/traffic-jams-trigger-fuel-shortage-in-kaza/430765.html,100km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,77.52161234,32.30628994,2017-07-03,15:17:00,2017,7
The Northlines,http://thenorthlines.com/batote-kishtwar-highway-blocked-landslide/,5km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.80813836,33.18477201,2017-06-29,13:20:00,2017,6
The Economic Times,http://economictimes.indiatimes.com/news/politics-and-nation/jk-highway-closed-for-traffic-due-to-landslides/articleshow/59380382.cms,1km,landslide,downpour,small,above_road,0.0,0.0,,,,,,,75.29750088,33.08146902,2017-06-30,13:20:00,2017,6
